"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",crypto-js:3.3.0,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?pdfkit:0.11.0/crypto-js:^3.1.9-1,JavaScript library of crypto standards.,MIT,"","",pkg:npm/crypto-js@3.3.0,cpe:2.3:a:crypto-js_project:crypto-js:3.3.0:*:*:*:*:*:*:*,CVE-2023-46233,"CWE-327 Use of a Broken or Risky Cryptographic Algorithm, CWE-328 Use of Weak Hash, CWE-916 Use of Password Hash With Insufficient Computational Effort","crypto-js is a JavaScript library of crypto standards. Prior to version 4.2.0, crypto-js PBKDF2 is 1,000 times weaker than originally specified in 1993, and at least 1,300,000 times weaker than current industry standard. This is because it both defaults to SHA1, a cryptographic hash algorithm considered insecure since at least 2005, and defaults to one single iteration, a 'strength' or 'difficulty' value specified at 1,000 when specified in 1993. PBKDF2 relies on iteration count as a countermeasure to preimage and collision attacks. If used to protect passwords, the impact is high. If used to generate signatures, the impact is high. Version 4.2.0 contains a patch for this issue. As a workaround, configure crypto-js to use SHA256 with at least 250,000 iterations.",NVD,"","","",CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N/E:3.9/RC:R/MAV:A,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",crypto-js:3.3.0,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?pdfkit:0.11.0/crypto-js:^3.1.9-1,JavaScript library of crypto standards.,MIT,"","",pkg:npm/crypto-js@3.3.0,cpe:2.3:a:crypto-js_project:crypto-js:3.3.0:*:*:*:*:*:*:*,CVE-2020-36732,CWE-338 Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),"crypto-js - Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)  The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong.",OSSINDEX,"","","",MEDIUM,4.800000190734863,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",ecstatic:3.3.2,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?http-server:0.12.3/ecstatic:^3.3.2,A simple static file server middleware,MIT,"","",pkg:npm/ecstatic@3.3.2,cpe:2.3:a:ecstatic_project:ecstatic:3.3.2:*:*:*:*:*:*:*,CVE-2019-10775,CWE-400 Uncontrolled Resource Consumption,ecstatic have a denial of service vulnerability. Successful exploitation could lead to crash of an application.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,HIGHEST,7,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",ecstatic:3.3.2,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?http-server:0.12.3/ecstatic:^3.3.2,A simple static file server middleware,MIT,"","",pkg:npm/ecstatic@3.3.2,cpe:2.3:a:ecstatic_project:ecstatic:3.3.2:*:*:*:*:*:*:*,GHSA-jc84-3g44-wf2q,CWE-400 Uncontrolled Resource Consumption,ecstatic have a denial of service vulnerability. Successful exploitation could lead to crash of an application.,NPM,"","","","","","",HIGHEST,7,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",CVE-2024-42461,CWE-347 Improper Verification of Cryptographic Signature,"In the Elliptic package 6.5.6 for Node.js, ECDSA signature malleability occurs because BER-encoded signatures are allowed.",OSSINDEX,"","","",CRITICAL,9.100000381469727,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",CVE-2024-48949,CWE-347 Improper Verification of Cryptographic Signature,"The verify function in lib/elliptic/eddsa/index.js in the Elliptic package before 6.5.6 for Node.js omits ""sig.S().gte(sig.eddsa.curve.n) || sig.S().isNeg()"" validation.",NVD,"","","",CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N/E:3.9/RC:R/MAV:A,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",CVE-2024-42460,CWE-130 Improper Handling of Length Parameter Inconsistency,"In the Elliptic package 6.5.6 for Node.js, ECDSA signature malleability occurs because there is a missing check for whether the leading bit of r and s is zero.",OSSINDEX,HIGH,8.699999809265137,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N,"","","",HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",CVE-2024-42459,CWE-347 Improper Verification of Cryptographic Signature,"In the Elliptic package 6.5.6 for Node.js, EDDSA signature malleability occurs because there is a missing signature length check, and thus zero-valued bytes can be removed or appended.",OSSINDEX,MEDIUM,6.900000095367432,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:L/SA:N,"","","",HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",CVE-2024-48948,CWE-347 Improper Verification of Cryptographic Signature,"The Elliptic package 6.5.7 for Node.js, in its for ECDSA implementation, does not correctly verify valid signatures if the hash contains at least four leading 0 bytes and when the order of the elliptic curve's base point is smaller than the hash, because of an _truncateToN anomaly. This leads to valid signatures being rejected. Legitimate transactions or communications may be incorrectly flagged as invalid.",OSSINDEX,MEDIUM,6.300000190734863,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,"","","",HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",GHSA-434g-2637-qmqr,CWE-347 Improper Verification of Cryptographic Signature,"The Elliptic package 6.5.5 for Node.js for EDDSA implementation does not perform the required check if the signature proof(s) is within the bounds of the order n of the base point of the elliptic curve, leading to signature malleability. Namely, the `verify` function in `lib/elliptic/eddsa/index.js` omits `sig.S().gte(sig.eddsa.curve.n) || sig.S().isNeg()` validation.  This vulnerability could have a security-relevant impact if an application relies on the uniqueness of a signature.",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",GHSA-49q7-c7j4-3p7m,CWE-347 Improper Verification of Cryptographic Signature,"In the Elliptic package 6.5.6 for Node.js, ECDSA signature malleability occurs because BER-encoded signatures are allowed.",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",GHSA-977x-g7h5-7qgw,CWE-130 Improper Handling of Length Parameter Inconsistency,"In the Elliptic package 6.5.6 for Node.js, ECDSA signature malleability occurs because there is a missing check for whether the leading bit of r and s is zero.",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",GHSA-f7q4-pwc6-w24p,CWE-347 Improper Verification of Cryptographic Signature,"In the Elliptic package 6.5.6 for Node.js, EDDSA signature malleability occurs because there is a missing signature length check, and thus zero-valued bytes can be removed or appended.",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",elliptic:6.5.4,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/elliptic:6.5.4,EC cryptography,MIT,"","",pkg:npm/elliptic@6.5.4,"cpe:2.3:a:elliptic_project:elliptic:6.5.4:*:*:*:*:*:*:*, cpe:2.3:a:indutny:elliptic:6.5.4:*:*:*:*:*:*:*",GHSA-fc9h-whq2-v747,CWE-347 Improper Verification of Cryptographic Signature,"The Elliptic prior to 6.6.0 for Node.js, in its for ECDSA implementation, does not correctly verify valid signatures if the hash contains at least four leading 0 bytes and when the order of the elliptic curve's base point is smaller than the hash, because of an _truncateToN anomaly. This leads to valid signatures being rejected. Legitimate transactions or communications may be incorrectly flagged as invalid.",NPM,"","","",MEDIUM,4.800000190734863,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:L,HIGHEST,8,"","","","","","","",""
